Date,Day_of_Week,Meal_Type,Dish_Name,Is_Weekend,Is_Holiday,Is_Exam,Menu_Popularity,Quantity_Consumed
1/23/2024,1,Breakfast,Aloo Prantha,0,0,0,4,408
1/23/2024,1,Lunch,Black Channe Rice,0,0,0,3,460
1/23/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,463
1/24/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,407
1/24/2024,2,Lunch,Fried Rice,0,0,0,4,458
1/24/2024,2,Dinner,Paneer Bhurji,0,0,0,5,490
1/25/2024,3,Breakfast,Methi Prantha,0,0,0,2,364
1/25/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,459
1/25/2024,3,Dinner,Chana Masala,0,0,0,3,458
1/26/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,410
1/26/2024,4,Lunch,Channa Dal Rice,0,0,0,2,426
1/26/2024,4,Dinner,Cheese Chilli,0,0,0,5,476
1/27/2024,5,Breakfast,Aloo Prantha,1,1,0,4,154
1/27/2024,5,Lunch,Dal Makhni Rotti,1,1,0,4,224
1/27/2024,5,Dinner,Aloo Matar Gajar,1,1,0,2,187
1/28/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,315
1/28/2024,6,Lunch,Pudi White Channe,1,0,0,5,364
1/28/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,333
1/29/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,399
1/29/2024,0,Lunch,Rajma Rice,0,0,0,5,456
1/29/2024,0,Dinner,Aloo Gobhi,0,0,0,2,444
1/30/2024,1,Breakfast,Aloo Prantha,0,0,0,4,407
1/30/2024,1,Lunch,Black Channe Rice,0,0,0,3,427
1/30/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,463
1/31/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,400
1/31/2024,2,Lunch,Fried Rice,0,0,0,4,478
1/31/2024,2,Dinner,Paneer Bhurji,0,0,0,5,478
2/1/2024,3,Breakfast,Methi Prantha,0,0,0,2,378
2/1/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,428
2/1/2024,3,Dinner,Chana Masala,0,0,0,3,450
2/2/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,421
2/2/2024,4,Lunch,Channa Dal Rice,0,0,0,2,448
2/2/2024,4,Dinner,Cheese Chilli,0,0,0,5,490
2/3/2024,5,Breakfast,Aloo Prantha,1,0,0,4,322
2/3/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,375
2/3/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,312
2/4/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,337
2/4/2024,6,Lunch,Pudi White Channe,1,0,0,5,360
2/4/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,363
2/5/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,376
2/5/2024,0,Lunch,Rajma Rice,0,0,0,5,459
2/5/2024,0,Dinner,Aloo Gobhi,0,0,0,2,436
2/6/2024,1,Breakfast,Aloo Prantha,0,0,0,4,397
2/6/2024,1,Lunch,Black Channe Rice,0,0,0,3,462
2/6/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,432
2/7/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,392
2/7/2024,2,Lunch,Fried Rice,0,0,0,4,461
2/7/2024,2,Dinner,Paneer Bhurji,0,0,0,5,460
2/8/2024,3,Breakfast,Methi Prantha,0,0,0,2,361
2/8/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,462
2/8/2024,3,Dinner,Chana Masala,0,0,0,3,441
2/9/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,412
2/9/2024,4,Lunch,Channa Dal Rice,0,0,0,2,439
2/9/2024,4,Dinner,Cheese Chilli,0,0,0,5,462
2/10/2024,5,Breakfast,Aloo Prantha,1,0,0,4,325
2/10/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,344
2/10/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,322
2/11/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,320
2/11/2024,6,Lunch,Pudi White Channe,1,0,0,5,384
2/11/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,340
2/12/2024,0,Breakfast,Gobhi Prantha,0,1,0,3,140
2/12/2024,0,Lunch,Rajma Rice,0,1,0,5,216
2/12/2024,0,Dinner,Aloo Gobhi,0,1,0,2,167
2/13/2024,1,Breakfast,Aloo Prantha,0,0,0,4,405
2/13/2024,1,Lunch,Black Channe Rice,0,0,0,3,454
2/13/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,447
2/14/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,429
2/14/2024,2,Lunch,Fried Rice,0,0,0,4,444
2/14/2024,2,Dinner,Paneer Bhurji,0,0,0,5,474
2/15/2024,3,Breakfast,Methi Prantha,0,0,0,2,360
2/15/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,454
2/15/2024,3,Dinner,Chana Masala,0,0,0,3,445
2/16/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,411
2/16/2024,4,Lunch,Channa Dal Rice,0,0,0,2,427
2/16/2024,4,Dinner,Cheese Chilli,0,0,0,5,462
2/17/2024,5,Breakfast,Aloo Prantha,1,0,0,4,322
2/17/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,355
2/17/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,321
2/18/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,338
2/18/2024,6,Lunch,Pudi White Channe,1,0,0,5,368
2/18/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,360
2/19/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,376
2/19/2024,0,Lunch,Rajma Rice,0,0,0,5,475
2/19/2024,0,Dinner,Aloo Gobhi,0,0,0,2,411
2/20/2024,1,Breakfast,Aloo Prantha,0,0,0,4,398
2/20/2024,1,Lunch,Black Channe Rice,0,0,0,3,425
2/20/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,435
2/21/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,412
2/21/2024,2,Lunch,Fried Rice,0,0,0,4,465
2/21/2024,2,Dinner,Paneer Bhurji,0,0,0,5,458
2/22/2024,3,Breakfast,Methi Prantha,0,0,0,2,365
2/22/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,459
2/22/2024,3,Dinner,Chana Masala,0,0,0,3,446
2/23/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,411
2/23/2024,4,Lunch,Channa Dal Rice,0,0,0,2,446
2/23/2024,4,Dinner,Cheese Chilli,0,0,0,5,466
2/24/2024,5,Breakfast,Aloo Prantha,1,0,0,4,327
2/24/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,357
2/24/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,344
2/25/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,334
2/25/2024,6,Lunch,Pudi White Channe,1,0,0,5,368
2/25/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,330
2/26/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,381
2/26/2024,0,Lunch,Rajma Rice,0,0,0,5,468
2/26/2024,0,Dinner,Aloo Gobhi,0,0,0,2,418
2/27/2024,1,Breakfast,Aloo Prantha,0,0,0,4,424
2/27/2024,1,Lunch,Black Channe Rice,0,0,0,3,426
2/27/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,451
2/28/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,407
2/28/2024,2,Lunch,Fried Rice,0,0,0,4,453
2/28/2024,2,Dinner,Paneer Bhurji,0,0,0,5,474
2/29/2024,3,Breakfast,Methi Prantha,0,0,0,2,369
2/29/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,449
2/29/2024,3,Dinner,Chana Masala,0,0,0,3,426
3/1/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,422
3/1/2024,4,Lunch,Channa Dal Rice,0,0,0,2,445
3/1/2024,4,Dinner,Cheese Chilli,0,0,0,5,485
3/2/2024,5,Breakfast,Aloo Prantha,1,0,0,4,305
3/2/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,342
3/2/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,344
3/3/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,329
3/3/2024,6,Lunch,Pudi White Channe,1,0,0,5,367
3/3/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,358
3/4/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,408
3/4/2024,0,Lunch,Rajma Rice,0,0,0,5,458
3/4/2024,0,Dinner,Aloo Gobhi,0,0,0,2,434
3/5/2024,1,Breakfast,Aloo Prantha,0,0,0,4,401
3/5/2024,1,Lunch,Black Channe Rice,0,0,0,3,456
3/5/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,456
3/6/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,420
3/6/2024,2,Lunch,Fried Rice,0,0,0,4,453
3/6/2024,2,Dinner,Paneer Bhurji,0,0,0,5,474
3/7/2024,3,Breakfast,Methi Prantha,0,0,0,2,365
3/7/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,456
3/7/2024,3,Dinner,Chana Masala,0,0,0,3,453
3/8/2024,4,Breakfast,Bread Pakoda/Poha,0,1,0,4,141
3/8/2024,4,Lunch,Channa Dal Rice,0,1,0,2,182
3/8/2024,4,Dinner,Cheese Chilli,0,1,0,5,223
3/9/2024,5,Breakfast,Aloo Prantha,1,0,0,4,294
3/9/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,358
3/9/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,343
3/10/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,306
3/10/2024,6,Lunch,Pudi White Channe,1,0,0,5,365
3/10/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,355
3/11/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,383
3/11/2024,0,Lunch,Rajma Rice,0,0,0,5,477
3/11/2024,0,Dinner,Aloo Gobhi,0,0,0,2,428
3/12/2024,1,Breakfast,Aloo Prantha,0,0,0,4,410
3/12/2024,1,Lunch,Black Channe Rice,0,0,0,3,433
3/12/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,452
3/13/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,396
3/13/2024,2,Lunch,Fried Rice,0,0,0,4,455
3/13/2024,2,Dinner,Paneer Bhurji,0,0,0,5,470
3/14/2024,3,Breakfast,Methi Prantha,0,0,0,2,363
3/14/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,428
3/14/2024,3,Dinner,Chana Masala,0,0,0,3,463
3/15/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,426
3/15/2024,4,Lunch,Channa Dal Rice,0,0,0,2,448
3/15/2024,4,Dinner,Cheese Chilli,0,0,0,5,483
3/16/2024,5,Breakfast,Aloo Prantha,1,0,0,4,327
3/16/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,378
3/16/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,346
3/17/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,339
3/17/2024,6,Lunch,Pudi White Channe,1,0,0,5,361
3/17/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,351
3/18/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,388
3/18/2024,0,Lunch,Rajma Rice,0,0,0,5,461
3/18/2024,0,Dinner,Aloo Gobhi,0,0,0,2,446
3/19/2024,1,Breakfast,Aloo Prantha,0,0,0,4,394
3/19/2024,1,Lunch,Black Channe Rice,0,0,0,3,426
3/19/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,451
3/20/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,427
3/20/2024,2,Lunch,Fried Rice,0,0,0,4,454
3/20/2024,2,Dinner,Paneer Bhurji,0,0,0,5,475
3/21/2024,3,Breakfast,Methi Prantha,0,0,0,2,398
3/21/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,429
3/21/2024,3,Dinner,Chana Masala,0,0,0,3,425
3/22/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,415
3/22/2024,4,Lunch,Channa Dal Rice,0,0,0,2,430
3/22/2024,4,Dinner,Cheese Chilli,0,0,0,5,472
3/23/2024,5,Breakfast,Aloo Prantha,1,0,0,4,321
3/23/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,375
3/23/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,326
3/24/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,315
3/24/2024,6,Lunch,Pudi White Channe,1,0,0,5,375
3/24/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,350
3/25/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,408
3/25/2024,0,Lunch,Rajma Rice,0,0,0,5,472
3/25/2024,0,Dinner,Aloo Gobhi,0,0,0,2,449
3/26/2024,1,Breakfast,Aloo Prantha,0,0,0,4,418
3/26/2024,1,Lunch,Black Channe Rice,0,0,0,3,453
3/26/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,462
3/27/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,402
3/27/2024,2,Lunch,Fried Rice,0,0,0,4,456
3/27/2024,2,Dinner,Paneer Bhurji,0,0,0,5,463
3/28/2024,3,Breakfast,Methi Prantha,0,0,0,2,361
3/28/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,453
3/28/2024,3,Dinner,Chana Masala,0,0,0,3,457
3/29/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,429
3/29/2024,4,Lunch,Channa Dal Rice,0,0,0,2,430
3/29/2024,4,Dinner,Cheese Chilli,0,0,0,5,482
3/30/2024,5,Breakfast,Aloo Prantha,1,0,0,4,323
3/30/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,347
3/30/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,331
3/31/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,319
3/31/2024,6,Lunch,Pudi White Channe,1,0,0,5,371
3/31/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,347
4/1/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,393
4/1/2024,0,Lunch,Rajma Rice,0,0,0,5,459
4/1/2024,0,Dinner,Aloo Gobhi,0,0,0,2,441
4/2/2024,1,Breakfast,Aloo Prantha,0,0,0,4,412
4/2/2024,1,Lunch,Black Channe Rice,0,0,0,3,461
4/2/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,432
4/3/2024,2,Breakfast,Macaroni/Sandwich,0,1,0,4,162
4/3/2024,2,Lunch,Fried Rice,0,1,0,4,190
4/3/2024,2,Dinner,Paneer Bhurji,0,1,0,5,228
4/4/2024,3,Breakfast,Methi Prantha,0,0,0,2,376
4/4/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,429
4/4/2024,3,Dinner,Chana Masala,0,0,0,3,444
4/5/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,420
4/5/2024,4,Lunch,Channa Dal Rice,0,0,0,2,445
4/5/2024,4,Dinner,Cheese Chilli,0,0,0,5,465
4/6/2024,5,Breakfast,Aloo Prantha,1,0,0,4,308
4/6/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,346
4/6/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,337
4/7/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,309
4/7/2024,6,Lunch,Pudi White Channe,1,0,0,5,359
4/7/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,354
4/8/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,382
4/8/2024,0,Lunch,Rajma Rice,0,0,0,5,464
4/8/2024,0,Dinner,Aloo Gobhi,0,0,0,2,447
4/9/2024,1,Breakfast,Aloo Prantha,0,0,0,4,417
4/9/2024,1,Lunch,Black Channe Rice,0,0,0,3,441
4/9/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,455
4/10/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,429
4/10/2024,2,Lunch,Fried Rice,0,0,0,4,464
4/10/2024,2,Dinner,Paneer Bhurji,0,0,0,5,463
4/11/2024,3,Breakfast,Methi Prantha,0,0,0,2,362
4/11/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,460
4/11/2024,3,Dinner,Chana Masala,0,0,0,3,428
4/12/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,414
4/12/2024,4,Lunch,Channa Dal Rice,0,0,0,2,419
4/12/2024,4,Dinner,Cheese Chilli,0,0,0,5,475
4/13/2024,5,Breakfast,Aloo Prantha,1,0,0,4,316
4/13/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,379
4/13/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,311
4/14/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,336
4/14/2024,6,Lunch,Pudi White Channe,1,0,0,5,385
4/14/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,340
4/15/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,408
4/15/2024,0,Lunch,Rajma Rice,0,0,0,5,465
4/15/2024,0,Dinner,Aloo Gobhi,0,0,0,2,419
4/16/2024,1,Breakfast,Aloo Prantha,0,0,0,4,429
4/16/2024,1,Lunch,Black Channe Rice,0,0,0,3,442
4/16/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,433
4/17/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,403
4/17/2024,2,Lunch,Fried Rice,0,0,0,4,464
4/17/2024,2,Dinner,Paneer Bhurji,0,0,0,5,476
4/18/2024,3,Breakfast,Methi Prantha,0,0,0,2,379
4/18/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,445
4/18/2024,3,Dinner,Chana Masala,0,0,0,3,456
4/19/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,410
4/19/2024,4,Lunch,Channa Dal Rice,0,0,0,2,444
4/19/2024,4,Dinner,Cheese Chilli,0,0,0,5,486
4/20/2024,5,Breakfast,Aloo Prantha,1,0,0,4,328
4/20/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,351
4/20/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,327
4/21/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,325
4/21/2024,6,Lunch,Pudi White Channe,1,0,0,5,362
4/21/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,364
4/22/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,397
4/22/2024,0,Lunch,Rajma Rice,0,0,0,5,486
4/22/2024,0,Dinner,Aloo Gobhi,0,0,0,2,420
4/23/2024,1,Breakfast,Aloo Prantha,0,0,0,4,411
4/23/2024,1,Lunch,Black Channe Rice,0,0,0,3,449
4/23/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,446
4/24/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,402
4/24/2024,2,Lunch,Fried Rice,0,0,0,4,457
4/24/2024,2,Dinner,Paneer Bhurji,0,0,0,5,456
4/25/2024,3,Breakfast,Methi Prantha,0,0,0,2,374
4/25/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,451
4/25/2024,3,Dinner,Chana Masala,0,0,0,3,455
4/26/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,412
4/26/2024,4,Lunch,Channa Dal Rice,0,0,0,2,433
4/26/2024,4,Dinner,Cheese Chilli,0,0,0,5,467
4/27/2024,5,Breakfast,Aloo Prantha,1,0,0,4,326
4/27/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,372
4/27/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,312
4/28/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,323
4/28/2024,6,Lunch,Pudi White Channe,1,0,0,5,377
4/28/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,353
4/29/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,399
4/29/2024,0,Lunch,Rajma Rice,0,0,0,5,491
4/29/2024,0,Dinner,Aloo Gobhi,0,0,0,2,417
4/30/2024,1,Breakfast,Aloo Prantha,0,0,0,4,405
4/30/2024,1,Lunch,Black Channe Rice,0,0,0,3,432
4/30/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,425
5/1/2024,2,Breakfast,Macaroni/Sandwich,0,0,1,4,392
5/1/2024,2,Lunch,Fried Rice,0,0,1,4,440
5/1/2024,2,Dinner,Paneer Bhurji,0,0,1,5,458
5/2/2024,3,Breakfast,Methi Prantha,0,0,1,2,391
5/2/2024,3,Lunch,Aloo Matar Rice,0,0,1,3,458
5/2/2024,3,Dinner,Chana Masala,0,0,1,3,449
5/3/2024,4,Breakfast,Bread Pakoda/Poha,0,0,1,4,428
5/3/2024,4,Lunch,Channa Dal Rice,0,0,1,2,436
5/3/2024,4,Dinner,Cheese Chilli,0,0,1,5,481
5/4/2024,5,Breakfast,Aloo Prantha,1,0,1,4,302
5/4/2024,5,Lunch,Dal Makhni Rotti,1,0,1,4,348
5/4/2024,5,Dinner,Aloo Matar Gajar,1,0,1,2,345
5/5/2024,6,Breakfast,Paneer Pyaaz Prantha,1,1,1,5,180
5/5/2024,6,Lunch,Pudi White Channe,1,1,1,5,216
5/5/2024,6,Dinner,Aloo Sabji Rice,1,1,1,3,191
5/6/2024,0,Breakfast,Gobhi Prantha,0,1,1,3,158
5/6/2024,0,Lunch,Rajma Rice,0,1,1,5,224
5/6/2024,0,Dinner,Aloo Gobhi,0,1,1,2,170
5/7/2024,1,Breakfast,Aloo Prantha,0,0,1,4,420
5/7/2024,1,Lunch,Black Channe Rice,0,0,1,3,430
5/7/2024,1,Dinner,Sarso Ka Saag,0,0,1,3,443
5/8/2024,2,Breakfast,Macaroni/Sandwich,0,0,1,4,393
5/8/2024,2,Lunch,Fried Rice,0,0,1,4,443
5/8/2024,2,Dinner,Paneer Bhurji,0,0,1,5,474
5/9/2024,3,Breakfast,Methi Prantha,0,0,1,2,394
5/9/2024,3,Lunch,Aloo Matar Rice,0,0,1,3,450
5/9/2024,3,Dinner,Chana Masala,0,0,1,3,461
5/10/2024,4,Breakfast,Bread Pakoda/Poha,0,0,1,4,429
5/10/2024,4,Lunch,Channa Dal Rice,0,0,1,2,448
5/10/2024,4,Dinner,Cheese Chilli,0,0,1,5,475
5/11/2024,5,Breakfast,Aloo Prantha,1,1,1,4,143
5/11/2024,5,Lunch,Dal Makhni Rotti,1,1,1,4,209
5/11/2024,5,Dinner,Aloo Matar Gajar,1,1,1,2,176
5/12/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,1,5,308
5/12/2024,6,Lunch,Pudi White Channe,1,0,1,5,383
5/12/2024,6,Dinner,Aloo Sabji Rice,1,0,1,3,338
5/13/2024,0,Breakfast,Gobhi Prantha,0,0,1,3,411
5/13/2024,0,Lunch,Rajma Rice,0,0,1,5,470
5/13/2024,0,Dinner,Aloo Gobhi,0,0,1,2,413
